name,url,description,site,price,teacher
Automation Business Analysis - Concepts and Principles,https://www.coursera.org/learn/automation-business-analyst,"Change is inevitable and so are the digital disruptions in every industry. What’s important from a business perspective is to align and adapt to such digital disruptions. In today’s competitive business market, the key to success is wise data-driven decisions, made based on reliable information. As part of your work responsibilities, you would have discovered, synthesized, and analyzed information collected from various sources at some point in time. This is Business Analysis. It is the set of tasks, knowledge, and techniques required to identify business needs and determine solutions to enterprise business problems. Like we said earlier, a plethora of digital disruptions are taking place in every industry. We are witnessing the growth of a digital-ready culture with automation at its helm. Automation generates productivity boosts at the process, workflow, and workforce levels, thereby shaping organizational growth and longevity. With organizations moving towards automation, it’s of paramount importance for a Business Analyst to be skilled with the science of automation to facilitate communication and collaboration with relevant stakeholders. As a strong proponent of Robotic Process Automation (RPA), UiPath brings in the Automation Business Analyst role, who will be responsible for analyzing business requirements, identifying possible automatable processes as well as potential pitfalls, along with assessing the impact of automation implementation. Through this course, you will learn techniques for ensuring project success at every step-from understanding the enterprise problems or goals, to designing solutions, devising strategies, and thereby, driving change.  Along with the foundational business analysis skills, you will also learn how to incorporate business analysis deliverables and models into an RPA specific Process Definition Document (PDD), which is the representation of ‘as-is’ business processes that are chosen for automation. Throughout this course the terms ‘Robotic Process Automation’ (RPA) and ‘Automation’ have been used interchangeably. Aligned with IIBA's BABOK, this course will help you take the first step in your Business Analyst journey and will aid you with preparation for ECBA (Entry Certificate in Business Analysis).To complete this course, you will need IIBA’s BABOK Guide, which can be accessed at no additional cost.",Coursera,3900000,5
Machine Learning for All,https://www.coursera.org/learn/uol-machine-learning-for-all,"Machine Learning, often called Artificial Intelligence or AI, is one of the most exciting areas of technology at the moment. We see daily news stories that herald new breakthroughs in facial recognition technology, self driving cars or computers that can have a conversation just like a real person. Machine Learning technology is set to revolutionise almost any area of human life and work, and so will affect all our lives, and so you are likely to want to find out more about it. Machine Learning has a reputation for being one of the most complex areas of computer science, requiring advanced mathematics and engineering skills to understand it. While it is true that working as a Machine Learning engineer does involve a lot of mathematics and programming, we believe that anyone can understand the basic concepts of Machine Learning, and given the importance of this technology, everyone should. The big AI breakthroughs sound like science fiction, but they come down to a simple idea: the use of data to train statistical algorithms. In this course you will learn to understand the basic idea of machine learning, even if you don't have any background in math or programming. Not only that, you will get hands on and use user friendly tools developed at Goldsmiths, University of London to actually do a machine learning project: training a computer to recognise images. This course is for a lot of different people. It could be a good first step into a technical career in Machine Learning, after all it is always better to start with the high level concepts before the technical details, but it is also great if your role is non-technical. You might be a manager or other non-technical role in a company that is considering using Machine Learning. You really need to understand this technology, and this course is a great place to get that understanding. Or you might just be following the news reports about AI and interested in finding out more about the hottest new technology of the moment. Whoever you are, we are looking forward to guiding you through you first machine learning project.",Coursera,8800000,15
Computational Methods in Pricing and Model Calibration,https://www.coursera.org/learn/financial-engineering-computationalmethods?specialization=financialengineering,"This course focuses on computational methods in option and interest rate, product’s pricing and model calibration. The first module will introduce different types of options in the market, followed by an in-depth discussion into numerical techniques helpful in pricing them, e.g. Fourier Transform (FT) and Fast Fourier Transform (FFT) methods. We will explain models like Black-Merton-Scholes (BMS), Heston, Variance Gamma (VG), which are central to understanding stock price evolution, through case studies and Python codes. The second module introduces concepts like bid-ask prices, implied volatility, and option surfaces, followed by a demonstration of model calibration for fitting market option prices using optimization routines like brute-force search, Nelder-Mead algorithm, and BFGS algorithm. The third module introduces interest rates and the financial products built around these instruments. We will bring in fundamental concepts like forward rates, spot rates, swap rates, and the term structure of interest rates, extending it further for creating, calibrating, and analyzing LIBOR and swap curves. We will also demonstrate the pricing of bonds, swaps, and other interest rate products through Python codes. The final module focuses on real-world model calibration techniques used by practitioners to estimate interest rate processes and derive prices of different financial products. We will illustrate several regression techniques used for interest rate model calibration and end the module by covering the Vasicek and CIR model for pricing fixed income instruments.",Coursera,9300000,9
Understanding and Strengthening Health Systems,https://www.coursera.org/learn/health-systems?specialization=global-health,"Welcome to our course on Understanding and Strengthening Health Systems for Global Health. During the course we will provide you with an overview of the main elements or building blocks of a health system based on the World Health Organization’s guidance. You will have the opportunity to explore four main areas of health systems in global health with particular reference to low and middle income countries. The first area focuses on understanding health service organizations, the challenges. Our second module looks at WHO’s six major building blocks or health systems components with particular reference to primary health care and the need for community participation in planning, delivery and assessment of these systems components. in our third module we examine the specific systems component of human resource development and capacity building. The fourth area consists of health policy making and advocacy with stakeholders. This course is geared toward learners who are already involved in managing health and development programs on the ground in low and middle income countries or who are preparing for such a management role.  The main lectures will span a four-week period with approximately 2-4 hours of viewing learning materials per week.  We have one peer graded essay wherein you will use skills in ‘organizational’ diagnosis to better understand a challenge in an organization where you are or have worked. There are also quizzes. We hope you will engage with your fellow learners in discussion forums to learn from each other.",Coursera,2000000,10
Healthcare Data Literacy,https://www.coursera.org/learn/healthcare-data-literacy?specialization=healthcare-information-literacy-data-analytics,"This course will help lay the foundation of your healthcare data journey and provide you with knowledge and skills necessary to work in the healthcare industry as a data scientist. Healthcare is unique because it is associated with continually evolving and complex processes associated with health management and medical care. We'll learn about the many facets to consider in healthcare and determine the value and growing need for data analysts in healthcare. We'll learn about the Triple Aim and other data-enabled healthcare drivers. We'll cover different concepts and categories of healthcare data and describe how ontologies and related terms such as taxonomy and terminology organize concepts and facilitate computation. We'll discuss the common clinical representations of data in healthcare systems, including ICD-10, SNOMED, LOINC, drug vocabularies (e.g., RxNorm), and clinical data standards. We’ll discuss the various types of healthcare data and assess the complexity that occurs as you work with pulling in all the different types of data to aid in decisions. We will analyze various types and sources of healthcare data, including clinical, operational claims, and patient generated data as well as differentiate unstructured, semi-structured and structured data within health data contexts. We'll examine the inner workings of data and conceptual harmony  offer some solutions to the data integration problem by defining some important concepts, methods, and applications that are important to this domain.",Coursera,4900000,4
Engineering Health: Introduction to Yoga and Physiology,https://www.coursera.org/learn/engineering-health-yoga-physiology,"This course gives you access to an exploration of physiological systems from the perspective of overall health and wellness. In particular, a focus on yoga, meditation and mindfulness as a therapeutic intervention in chronic illness and long term treatment. This course is intended for yoga practitioners and teachers, as well as college students and medical practitioners looking for a deeper understanding of the physiological benefits of yoga. The value of taking this course is to understand the impact that yoga can have on reducing stress, and aiding in healing or preventing physiological pathologies. Throughout this course, we will learn about different physiological systems and highlight yoga practices that can influence different systems and reduce pathology. Reading material will include analysis of scientific studies that have successfully utilized yoga practice as a tool for treatment of various illnesses such as: hypertension, stress, diabetes, insomnia, chronic pain and PTSD. In order to understanding these conditions, lectures will provide a complete understanding of the correlating physiological system. The weekly course assignment will include physiology lectures,  a weekly yoga practice, suggested readings,  and optional discussions for a total of 3-5 hours per week. The course will provide a tremendous amount of information and  hands on experience for those interested in alternative health perspectives and a more in depth scientific understanding of this ancient healing method.",Coursera,8200000,6
Health Impacts of Chemicals in Consumer Products,https://www.coursera.org/learn/health-impacts-chemicals-consumer-products?specialization=healthy-sustainable-foods-products,This course focuses on assessing health impacts of chemicals in products and of fine particulate emitted along the product life cycle. We first develop the assessment framework to assess exposure and health impacts of chemicals in products. We then detail the application of mass-balance approaches to the case of parabens in personal care products. Participants then learn to assess the human health impacts of chemicals in products using the USEtox model (UN-Environment toxicity model) and discuss the level of protection offered by existing regulations about chemicals in products contrasting US and Europe. We extend the assessment to risks and impacts 5000+ chemical-household product combinations identifying the products and chemicals of concern in e.g. home maintenance and personal care products and looking at children as a sensitive population and at the magnitude of the risks associated with exposures to chemicals in toys. We also introduce a Life Cycle-based approach to Chemical Alternatives Assessment (CAA) combining both quantified exposure and hazards and discuss the applicability domain of CAA compared to Risk Assessment (RA) and Life Cycle Assessment (LCA).  We finally determine exposure to and effect of fine particulates on human health along the product and chemical supply chain and life cycle. This course concludes the course series by providing cutting-edge progress on the overall exposome and compares the health impacts of multiple environmental exposures on health.,Coursera,8500000,1
Health Care Delivery in Healthcare Organizations,https://www.coursera.org/learn/healthcare-delivery-in-healthcare-organizations?specialization=healthcare-organization-operations,"Have you ever needed health care and thought that there must be better ways to get or deliver health care? For example, have you found yourself thinking that there should be a way to get a diagnostic test or treatment at home? Or do you work in a healthcare organization and find yourself thinking that there must be better ways to deliver health care? If you have, this course is for you. Course content includes an overview of health care delivery including healthcare consumerism, the patient's perspective, health care delivery for sickness and treatment, as well as health care delivery for health and wellness. The course provides links to external sites to connect you to the larger ""real world"" of healthcare organizations and health care delivery. The links also serve as resources you can take with you after you complete the course experience. And because everyone loves a road trip/field trip, there are also ""virtual field trips"" to the often hidden places of interest on the web. The course format is readings, videos, quizzes, and a brief electronic PowerPoint presentation project (PowerPoint only - no oral presentation). The PowerPoint project requires you to synthesize course material to design a patient-centered health care delivery system the way you would have things run in the best of all worlds. The electronic PowerPoint presentation file is an artifact of the course which you can circulate to colleagues or use for a talk or presentation event.",Coursera,7200000,13
Bayesian Statistics: Techniques and Models,https://www.coursera.org/learn/mcmc-bayesian-statistics?specialization=bayesian-statistics,"This is the second of a two-course sequence introducing the fundamentals of Bayesian statistics. It builds on the course Bayesian Statistics: From Concept to Data Analysis, which introduces Bayesian methods through use of simple conjugate models. Real-world data often require more sophisticated models to reach realistic conclusions. This course aims to expand our “Bayesian toolbox” with more general models, and computational techniques to fit them. In particular, we will introduce Markov chain Monte Carlo (MCMC) methods, which allow sampling from posterior distributions that have no analytical solution. We will use the open-source, freely available software R (some experience is assumed, e.g., completing the previous course in R) and JAGS (no experience required). We will learn how to construct, fit, assess, and compare Bayesian statistical models to answer scientific questions involving continuous, binary, and count data. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. The lectures provide some of the basic mathematical development, explanations of the statistical modeling process, and a few basic modeling techniques commonly used by statisticians. Computer demonstrations provide concrete, practical walkthroughs. Completion of this course will give you access to a wide range of Bayesian analytical tools, customizable to your data.",Coursera,7800000,12
Introduction to Food and Our Environment,https://www.coursera.org/learn/food-sustainability-environment-planet-health?specialization=food-sustainability-mindful-eating-healthy-cooking,"This course is designed to help learners around the world become more sustainable eaters. Course videos can be watched in any order. Feel free to explore special areas of interest by skipping ahead and coming back to less familiar topics at a later stage. Together, we’ll explore key topics, like how food production impacts the environment and why meat production and protein consumption are often at the center of the debate around sustainability. We’ll introduce the pros and cons of different kinds of agriculture, fishing and food packaging, with a focus on how we can make more environmentally friendly decisions on a daily basis. We’ll also look ahead and explore some of the technology innovations that could become increasingly important as we look at the future of food for a growing global population. If this is the first course you’ve ever taken on food and sustainable eating, you’ll come away with concrete tips for how you can make food choices that will protect the world we hand over to the next generation. Our planet needs many people making small changes in the right direction and we’re here to help with that. If you’re an expert in food sustainability, we hope to offer you some tools that could help you to communicate key messages to others in simple, digestible ways. Whatever your level, we hope you’ll join this discussion as we explore, together, the ways in which we can all become more sustainable eaters.",Coursera,8100000,13
