course_id,user_id,roles
26,27,"std"
82,31,"std"
3,40,"std"
6,23,"std"
52,43,"std"
48,31,"std"
57,27,"std"
60,28,"std"
5,44,"std"
13,48,"std"
61,38,"std"
78,42,"std"
40,31,"std"
93,46,"std"
13,30,"std"
40,40,"std"
26,46,"std"
30,26,"std"
6,18,"std"
92,40,"std"
15,19,"std"
28,24,"std"
88,32,"std"
38,22,"std"
53,40,"std"
81,29,"std"
87,40,"std"
80,20,"std"
72,41,"std"
81,44,"std"
33,24,"std"
65,49,"std"
37,31,"std"
47,24,"std"
35,43,"std"
25,30,"std"
45,22,"std"
46,42,"std"
38,27,"std"
6,43,"std"
20,34,"std"
67,25,"std"
54,32,"std"
60,23,"std"
45,34,"std"
16,49,"std"
95,37,"std"
3,22,"std"
62,45,"std"
90,41,"std"
65,36,"std"
97,33,"std"
98,34,"std"
43,47,"std"
61,39,"std"
36,16,"std"
77,45,"std"
68,41,"std"
83,36,"std"
44,29,"std"
44,42,"std"
35,20,"std"
32,18,"std"
15,19,"std"
59,42,"std"
85,17,"std"
29,39,"std"
9,42,"std"
33,38,"std"
83,17,"std"
61,27,"std"
3,18,"std"
16,19,"std"
45,47,"std"
27,29,"std"
58,17,"std"
99,30,"std"
23,28,"std"
50,22,"std"
27,31,"std"
79,49,"std"
3,18,"std"
52,50,"std"
80,26,"std"
95,19,"std"
91,32,"std"
55,28,"std"
97,37,"std"
67,33,"std"
78,35,"std"
94,36,"std"
61,18,"std"
95,23,"std"
90,28,"std"
44,44,"std"
31,26,"std"
91,23,"std"
3,27,"std"
62,36,"std"
61,28,"std"
5,45,"std"
95,23,"std"
100,16,"std"
71,18,"std"
50,30,"std"
95,16,"std"
10,36,"std"
51,26,"std"
21,35,"std"
56,28,"std"
78,20,"std"
73,34,"std"
32,30,"std"
15,46,"std"
16,24,"std"
97,23,"std"
33,19,"std"
88,38,"std"
10,19,"std"
72,17,"std"
95,35,"std"
82,28,"std"
81,47,"std"
31,29,"std"
32,31,"std"
87,27,"std"
76,25,"std"
64,38,"std"
8,41,"std"
6,22,"std"
62,26,"std"
30,24,"std"
69,50,"std"
11,20,"std"
12,35,"std"
81,25,"std"
56,23,"std"
33,25,"std"
19,25,"std"
64,45,"std"
1,20,"std"
32,43,"std"
68,36,"std"
12,32,"std"
50,30,"std"
22,48,"std"
38,35,"std"
4,48,"std"
50,40,"std"
79,21,"std"
28,37,"std"
57,27,"std"
78,35,"std"
49,22,"std"
99,39,"std"
11,37,"std"
64,25,"std"
61,19,"std"
54,46,"std"
25,35,"std"
62,48,"std"
55,41,"std"
3,35,"std"
47,35,"std"
58,44,"std"
9,22,"std"
65,29,"std"
78,32,"std"
69,31,"std"
64,20,"std"
14,34,"std"
75,35,"std"
76,29,"std"
89,19,"std"
10,27,"std"
32,30,"std"
51,21,"std"
45,28,"std"
22,44,"std"
53,17,"std"
29,43,"std"
7,23,"std"
56,28,"std"
60,47,"std"
74,34,"std"
3,33,"std"
55,27,"std"
55,42,"std"
33,48,"std"
95,43,"std"
27,34,"std"
65,34,"std"
75,17,"std"
18,46,"std"
72,19,"std"
15,27,"std"
81,27,"std"
45,23,"std"
78,26,"std"
95,36,"std"
71,31,"std"
74,50,"std"
48,49,"std"
34,23,"std"
49,29,"std"
62,33,"std"
49,19,"std"
34,44,"std"
42,45,"std"
16,30,"std"
79,44,"std"
3,36,"std"
70,23,"std"
69,27,"std"
10,34,"std"
48,37,"std"
94,30,"std"
31,25,"std"
76,39,"std"
27,46,"std"
85,47,"std"
10,38,"std"
20,33,"std"
82,27,"std"
68,32,"std"
63,44,"std"
61,32,"std"
72,36,"std"
50,31,"std"
70,44,"std"
10,40,"std"
32,20,"std"
7,30,"std"
72,30,"std"
65,17,"std"
25,27,"std"
83,33,"std"
34,18,"std"
69,36,"std"
3,40,"std"
88,43,"std"
89,21,"std"
75,37,"std"
29,25,"std"
54,24,"std"
75,47,"std"
57,18,"std"
40,29,"std"
13,44,"std"
5,25,"std"
8,23,"std"
55,28,"std"
96,40,"std"
25,25,"std"
14,39,"std"
20,24,"std"
88,33,"std"
6,33,"std"
56,38,"std"
47,20,"std"
30,28,"std"
7,35,"std"
24,42,"std"
84,32,"std"
19,47,"std"
41,37,"std"
54,31,"std"
40,34,"std"
21,22,"std"
28,26,"std"
71,21,"std"
77,41,"std"
80,31,"std"
61,29,"std"
9,41,"std"
8,26,"std"
34,49,"std"
35,45,"std"
66,22,"std"
79,42,"std"
54,49,"std"
48,29,"std"
61,35,"std"
80,42,"std"
72,24,"std"
49,39,"std"
57,23,"std"
45,20,"std"
72,36,"std"
86,20,"std"
63,23,"std"
31,41,"std"
56,39,"std"
94,39,"std"
98,25,"std"
39,41,"std"
25,40,"std"
63,45,"std"
91,26,"std"
27,32,"std"
63,37,"std"
25,25,"std"
29,22,"std"
16,31,"std"
38,37,"std"
94,37,"std"
76,25,"std"
45,40,"std"
16,44,"std"
65,16,"std"
61,39,"std"
72,29,"std"
98,41,"std"
89,19,"std"
59,20,"std"
53,34,"std"
60,26,"std"
31,33,"std"
73,19,"std"
32,20,"std"
84,35,"std"
67,38,"std"
87,48,"std"
72,50,"std"
24,17,"std"
33,16,"std"
63,36,"std"
84,18,"std"
10,39,"std"
96,16,"std"
5,40,"std"
81,46,"std"
60,35,"std"
51,43,"std"
45,49,"std"
40,32,"std"
60,35,"std"
70,21,"std"
70,48,"std"
47,49,"std"
81,25,"std"
50,33,"std"
25,33,"std"
24,40,"std"
19,21,"std"
23,35,"std"
77,26,"std"
21,46,"std"
92,18,"std"
95,36,"std"
91,31,"std"
2,41,"std"
22,28,"std"
66,32,"std"
85,41,"std"
85,47,"std"
61,49,"std"
58,24,"std"
59,21,"std"
4,19,"std"
76,43,"std"
51,22,"std"
3,32,"std"
13,31,"std"
46,33,"std"
93,41,"std"
63,45,"std"
16,16,"std"
55,29,"std"
83,21,"std"
43,17,"std"
16,38,"std"
43,46,"std"
83,40,"std"
7,22,"std"
42,24,"std"
49,47,"std"
24,29,"std"
40,41,"std"
67,36,"std"
29,41,"std"
63,45,"std"
3,25,"std"
82,49,"std"
74,21,"std"
31,38,"std"
2,26,"std"
92,20,"std"
96,41,"std"
20,21,"std"
87,28,"std"
95,31,"std"
42,22,"std"
37,23,"std"
37,49,"std"
38,38,"std"
58,27,"std"
50,41,"std"
10,35,"std"
54,35,"std"
44,36,"std"
23,39,"std"
80,38,"std"
98,27,"std"
71,19,"std"
69,18,"std"
50,45,"std"
46,46,"std"
88,29,"std"
79,26,"std"
37,26,"std"
61,26,"std"
51,17,"std"
48,29,"std"
27,40,"std"
45,32,"std"
52,29,"std"
58,19,"std"
13,24,"std"
24,18,"std"
83,21,"std"
54,26,"std"
36,47,"std"
57,37,"std"
51,32,"std"
10,48,"std"
94,42,"std"
96,39,"std"
30,38,"std"
68,33,"std"
75,21,"std"
24,17,"std"
63,20,"std"
76,27,"std"
64,36,"std"
29,46,"std"
57,19,"std"
46,16,"std"
40,17,"std"
73,33,"std"
36,24,"std"
78,31,"std"
31,22,"std"
93,37,"std"
30,28,"std"
47,27,"std"
34,29,"std"
20,24,"std"
45,31,"std"
51,35,"std"
86,43,"std"
87,47,"std"
95,25,"std"
20,43,"std"
28,42,"std"
97,21,"std"
41,31,"std"
99,38,"std"
4,37,"std"
63,26,"std"
86,36,"std"
86,48,"std"
46,43,"std"
92,22,"std"
91,25,"std"
31,25,"std"
95,43,"std"
96,43,"std"
68,47,"std"
80,35,"std"
46,46,"std"
79,22,"std"
79,22,"std"
10,32,"std"
25,47,"std"
5,41,"std"
42,36,"std"
17,33,"std"
11,37,"std"
64,41,"std"
14,19,"std"
66,36,"std"
31,39,"std"
89,47,"std"
29,50,"std"
94,19,"std"
91,19,"std"
44,26,"std"
53,41,"std"
34,34,"std"
32,28,"std"
80,48,"std"
95,24,"std"
19,25,"std"
24,24,"std"
60,40,"std"
52,49,"std"
100,19,"std"
32,23,"std"
80,20,"std"
